name,address,state,activity_type,installed_capacity_mta,status,source
RPN Industries,"Plot No B2, KSSIDC Industrial Area, Kumbalgodu, Mysore Road, Bangalore-74",Karnataka,E-waste recycler/dismantler,312,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
I Seven,"# 9/4, Kachohalli Industrial Estate Kachohalli, Near Saibaba Temple, Laxmipura Post, Bengaluru- 562123",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Greenscape Eco Management Pvt. Ltd.,"Plot No. R-12, Veerasandra Indl Area, Anekal Tq, Bangalore Urban District - 100",Karnataka,E-waste recycler/dismantler,600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Trishyirya Recycling India Pvt. Ltd.,"No. 315, 4th Phase, Peenya Industrial Estate, Bangalore - 560 058",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E Pragathi Recycling,"Plot No. 66, Road No. 18, Anthaasanahalli Indl. Area, IInd Phase, Tumkur",Karnataka,E-waste recycler/dismantler,3600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Ingram Micro India Pvt. Ltd.,"I Floor, Plot No. 1-4, Sy No. 5/2, 15th Km, Singasandra Post, Baretena Agrahara, NH-7, Hosur Main Road, Bangalore- 560100",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Vans Chemistry,"Plot No. 94/5, Shed NO. 13R14, SRRLayout, Kannalli Village, Bangalore-560094",Karnataka,E-waste recycler/dismantler,1440,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Moogambigai Metal Refineries,"Unit (3), Plot No. 174, Industrial Area, Baikampady Mangalore- 575011",Karnataka,E-waste recycler/dismantler,1248,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Sogo Synergy Private Limited,"Shed No. A-57, KSSIDC Industrial Estate, Bommasandra, Hosur Road, Anekal Taluk, Bangalore Urban District - 560099",Karnataka,E-waste recycler/dismantler,1296,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
MKK E-Waste Enterprises,"Shed No. 292, Belur Industrial Area, Belur, Dharwad Dist-580011",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
BSMR Metals,"No. R. O 7, KSSIDC Industrial Estate, Veerasandra II stage, Attibele Hobli, Bangalore Urban District",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Mak Technology Industrial,"Shed No. SP-5, Veerasandra KSSIDC Industrial Estate, Phase 0-11, 3rd Cross, Huskur Min Road, Electronic City Post, Bengaluru",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Earth Sense Recycle Pvt. Ltd.,"Printech Park Cluster 1st Phase, Plot No. A17, Kanakapura Taluk, KIADB Industrial Area Harohally Village Han, Harohalli, Ramanagara, Bangalore- 562112",Karnataka,E-waste recycler/dismantler,1200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
4R Recycling Pvt Ltd,"Shed No A-5, Industrial Estate, Peenya 3rd Stage Industrial area, Nallakadirenahalli Village, Yeshwanthpur Hobli, Bangalore North Taluk, Bangalore",Karnataka,E-waste recycler/dismantler,900,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Prakruthi Recycling Pvt. Ltd.,"Sy No. 22, Flat No. 103, 5th Block, 5th Cross, SSI Area, Rajajinagar, Bangalore- 560010",Karnataka,E-waste recycler/dismantler,999.6,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Elxion Pvt. Ltd.,"P. No. 24, 23rd A. Main Road, J.P Nagar 2nd Phase Indl Bangalore-560078",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
K. G. Nandini Enterprises,"No. 46/4, 46/5, Billakempanahalli Village, Bidadi Hobli, Ramanagaram District",Karnataka,E-waste recycler/dismantler,7200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco Bird Recycling Company Pvt. Ltd.,"No. 185, Azeez Sait industrial Area, Nayandahalli, Mysore Road, Bangalore -39",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Afeefa Spectro Alloys,"Sy No. 289/1, Nagaragere village, Gauribidnur Tq",Karnataka,E-waste recycler/dismantler,290,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Rashi E-Waste Solutions Pvt. Ltd.,"SW-51, Shed No. 26, Phase II, Apparel Park, Doddaballapura, Bangalore Rural District",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Coral Communication and Networks Pvt. Ltd.,"No. 52, Hoskote Industrial area, Bangalore Rural District",Karnataka,E-waste recycler/dismantler,8916,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Ash Recyclers,"No. 3, KSSIDC Ind Estate, Hoskote, Bangalore Rural District",Karnataka,E-waste recycler/dismantler,120,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E Pragathi Recycling,"Plot No. 66, Road No. 18, Antharasanahalli Indl Area, IInd Phase, Tumkur",Karnataka,E-waste recycler/dismantler,3600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Sheltron Digital systems Pvt.Ltd,"No.27, maney estate, Sy.no.121, Kumbalgodu, Bengaluru-560074",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
"Tes-Amm, India pvt. Ltd.","Sy. No. 118, Site. No. 8, Mookambika Temple Road, Machodalli Forest Gate, Magadi Road, Bangalore",Karnataka,E-waste recycler/dismantler,3240,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Sonal Metacop,"No.5, Sy No.5/1, Kachohalli Industrial Estate, Kachohalli, Laxmipura Post, Bangalore-562123",Karnataka,E-waste recycler/dismantler,720,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Ward & Co.,"No.11, Mutthachari Industrial area, Nayandahalli, Mysore road, Bangalore-560039",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Swadesh Recyclers LLP,"Sy. No. 216, KIADB Industrial Area, Koorandahalli Village, Malur Taluk Kolar District",Karnataka,E-waste recycler/dismantler,7800,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
FR E-Waste Enterprises,"Shed No. 120, Katha No 120/B, 52120/C, 5th Cross, Azeez Saig Industrial Area, Nayandahalli, Ward No 131, BBMP RR Nagar Zone, Bengaluru - 560039",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Amara metals enterprises,"No V20/1, 4th main, 2nd stage, Peenya Industrial Area, Bengaluru -560058",Karnataka,E-waste recycler/dismantler,1080,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Sri sai company,"# R-15, Katha No.320/322/29, Chikkanagamangala, Sarjapura Hobli, Anekal Taluk, Bengaluru",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Global E-waste Management Services,"P-21, Hebbal Industrial area, Hebbal I Phase, Mysuru",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Echakra Innovations Pvt Ltd,"SB/47, 1st Cross, Peenya Ind Estate-Stage-1, Bengaluru",Karnataka,E-waste recycler/dismantler,318,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
HMG Eco care Recycling,"C-22 3rd cross, Kumbalagodu, Bangalore560074",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Npewaste Private limited,"Plot No. 96, Koorgalli Industrial Area, Belavadi Post, Mysuru -570018",Karnataka,E-waste recycler/dismantler,1200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Earth Care E-waste Private Limited,"Plot No.15,KIADB Industrial Area, 155, Kumbalgodu, KIADB Industrial Area, Kumbalgodu Village, Kengeri Hobli, Bengaluru South Taluk, Bengaluru",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Plant Recycling,"Plot No. 242/A, 2nd Phase, Narasapura Industrial Area, Kolar Tq & District",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Greens Recology,"Plot No. 415, KIADB, Vasanthanarapura Industrial Area, Tumakuru Taluk and District",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
India Best Way Recycling,"Shed No. 08 (Mane Industrial Estate), Sy. No. 155, Kumbalgodu Village, Kengeri Hobli, Bengaluru South Taluk, Bengaluru Urban District -560074",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco Trend recyclers,"#81 A & 82A Kachohalli Industrial Estate, Dasanpura Hobli, Bengaluru",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Extract,"Plot No. 14/A, KIADB, Attibele Indl. Area, Anekal Taluk, Bengaluru",Karnataka,E-waste recycler/dismantler,650.04,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Gopalan reprocessors India Pvt Ltd,"No.131, A Main Road, Industrial Suburb, Peenya II Stage, Bengaluru",Karnataka,E-waste recycler/dismantler,600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
IKON Recyclers,"Plot No.5, Ground & 2nd Floor, 2nd Cross, 2nd Main Road, Magadi Road, Bengaluru -560079",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Scrappy Recyclers,"No. 106, Adrahalli main road, Byreshwara industrial Estate, Peenya 2nd stage, Bengaluru -560091",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Global Tech Recyclers,"No-8/5, 2nd Building, 1st Cross, Kachohalli Village & Kachohalli Industrial Estate, Lakshmipura Post, Dasanapura",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
GRKMS Private Limited,"1st Stage, Sompura, Bharathipura Dabaspet, Bengaluru-562111",Karnataka,E-waste recycler/dismantler,4099.92,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
"Communication Test Design, India Private Limited","Plot No 48, Near Balaji Temple, Peenya II Phase, Bengaluru -560058",Karnataka,E-waste recycler/dismantler,1008,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
JSA Web solutions,"Plot No. 93 A-4, Phase II, Jigani Industrial Area, Jigani Hobli, Anekal Taluk Bengaluru",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Recycler India MGT LLP,"Plot No.679 to 689, KIADB industrial area, Harohalli 3rd phase Kanakapura Taluk, Ramanagara District",Karnataka,E-waste recycler/dismantler,5071.92,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Trishyiraya Recycling India pvt Ltd,"SW51, Apparel park, indl area, Bashettihalli & part of Arehalli, Shed no.10, Doddballapura, Bengaluru-561203",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Envirotech IT Solutions,"No.136, 1st Floor, Shiva Farm, Magadi Main Road, Vrushabhavathinagar, Bengaluru -560079",Karnataka,E-waste recycler/dismantler,312,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Ace Recyclers,"Plot No. C29, KSSIDC, Industrial Estate, Hoskote Taluk, Bengaluru -562114",Karnataka,E-waste recycler/dismantler,312,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Pragathi Recycling Pvt. Ltd.,"Plot No. 564, Sy.No.55 & 52, Yelladadlu Village, Vasanthanarsapura, Industrial Area, 2nd Stage, Kara, Hobli, Tumkur -572128",Karnataka,E-waste recycler/dismantler,3240,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Best E-waste Recyclers Pvt Ltd.,"Plot No.459, Vasantha Narasapura Indl Area, 2nd Phase, Tumkur- 572138",Karnataka,E-waste recycler/dismantler,600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E2E Recycling Buisness Pvt Ltd,"No.550, Sy No.102(p) Beeragondanahalli, Village, SIA 2nd stage, Nelamangala, Bengaluru",Karnataka,E-waste recycler/dismantler,432,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Return lab Recyclers pvt ltd.,"P.no.68, SW-51, Phase-2, Doddabalapura Apparel park, Bengaluru-561203",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Think Recycling Pvt Ltd,"Plot No b-77 KSSIDC dustrial area, Bommasandra Bengaluru -560099",Karnataka,E-waste recycler/dismantler,600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Kerala Enviro Infrastructure Ltd,"E Waste Dismantling Facility, Common TSDF project, Inside Fact-CD Campus, Ambalamedu, Kochi 682303",Kerala,E-waste recycler/dismantler,1200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Arihant E Recycling Pvt Ltd,"Gut No.307/1, Shahada Road, Dondaicha, Tal-Sinkheda, Dist-Dhule",Maharashtra,E-waste recycler/dismantler,2000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco-Recycling Ltd.,"Eco-House, Near Top Glass Enclave, Bhoipada, Near Range Office, Sativali Road, Vasai (E), Dist. Palghar",Maharashtra,E-waste recycler/dismantler,7200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Incarnation Recycling Pvt. Ltd.,"Plot No. J-56, MIDC Area, Tarapur, Boiser, Dist: Palgar, Maharashtra - 401506",Maharashtra,E-waste recycler/dismantler,950,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Evergreen Recyclekaro India Pvt. Ltd.,"Gut. No. 113/A, Village Pali, Tal. Wada, Dist. Palghar",Maharashtra,E-waste recycler/dismantler,7500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Hi-Tech Recycling (I) Pvt. Ltd,"Property No.193, Gat No. 89, Pune-Satara Road, Shindewadi, Tal: Bhor, Dist: Pune",Maharashtra,E-waste recycler/dismantler,1410,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Justdispose Recycling Pvt Ltd. (Unit-II),"S.No. 42/5, Kaddu Industrial Estate, Sativali Phata, Vasai (E), Tal-Vasai, Dist- Palghar",Maharashtra,E-waste recycler/dismantler,1200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Pranam Enterprises,"Sr. No. 286/116, Next to Badhe, Vill. Urali Deveshi, Tal. Haveli, Dist. Pune",Maharashtra,E-waste recycler/dismantler,1000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Techeco E-Waste Namo LLP,"Gat No. 155 B/2, Village Dhakambe, Tal. Dindori, Dist. Nashik",Maharashtra,E-waste recycler/dismantler,9360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Threco Recycling LLP,"Survey No. 153-3 & 149-1, Hedavli, Dist- Raigad",Maharashtra,E-waste recycler/dismantler,3000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
WE-The Recycling Company,"H. No. 2212, Sr. No. 9-1 N, Behind Essar Petrol Pump, Village Borpada, Tal. Bhiwandi, Dist. Thane",Maharashtra,E-waste recycler/dismantler,800,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
ECO RESET PRIVATE LIMITED,"PLOT NO. 19/1, MOUZA BHOWARI, KAMPTEE, NAGPUR, MAHARASHTRA - 441001",Maharashtra,E-waste recycler/dismantler,10200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
ECO Friend Industries,"Plot No. A-205, TTC Industrial Area, MIDC Pawane, Navi Mumbai, Tal. & Dist. Thane",Maharashtra,E-waste recycler/dismantler,1000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
A. S. Enterprises,"Shop No 4 Shankar Temple Jasmine Bldg Pestam Sagar Road No 4 Chembur, Chembur, Mumbai Suburban - 400089",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
AG Enterprises,"Gat No. 815 (1), Kudalwadi, Chikhli, Pune 411062",Maharashtra,E-waste recycler/dismantler,365,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Alfa Trading Co.,"Kolhapur Estate, Yadav Nagar, Kherani Road, Sakinaka, Andheri, Mumbai Suburban - 400072",Maharashtra,E-waste recycler/dismantler,80,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Aman Trading Co.,"F/1, Annasagr Market, Behind Farooqi Hotel, Kurla Andheri Road, Jarimari, Kurla (W), Mumbai 400072",Maharashtra,E-waste recycler/dismantler,100,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Ambar Enterprises,"Awutade, Handewadi, Tal. Haveli, Dist. Pune 411028",Maharashtra,E-waste recycler/dismantler,250,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Amiable Electroning Pvt. Ltd.,"Plot No. D-141, Shirawane, TTC Industrial Area, MIDC Shiewane, Nerul, Navi Mumbai",Maharashtra,E-waste recycler/dismantler,750,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Anand Computer System,"2160 B, Sadashiv Peth, Swamipuram Bldg, Shop No. 7,8,9, Pune - 411030",Maharashtra,E-waste recycler/dismantler,350,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Ancus India Reprocessing Pvt. Ltd.,"Shop No. 2, Bldg. No. 1, Tiwari Estate, Vill:-Dhaniv, Nalasopara, Vasai",Maharashtra,E-waste recycler/dismantler,450,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Aqsa Stamping,"Plot no. 55, Rangara Industrial Estate, 33/35, Kiravali (Adivali), Tal. Panvel, Dist. Raigad",Maharashtra,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
ARSH RECYCLING PRIVATE LIMITED,"GAT No. 1750, RANJANGAON GANPATI, PUNE NAGAR ROAD, Ranjangaon Ganpati, Pune - 412209",Maharashtra,E-waste recycler/dismantler,2400,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Asquare Industrial Solutions,"Gala No. 3, Plot No. 35, Mulgaon, MIDC Khopoli, Tal. Khopoli, Dist. Raigad",Maharashtra,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Avis Technoways,"Plot No. A-58, MIDC Osmanabad, Dist. Osmanabad",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Baban Plastic,"Gut No. 1, At. Sajapur, Tal. & Dist. Aurangabad 401136",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Bharat E Waste Recycling Co.,"Sr. No. 189, Vill. Waliv, Vasai-Virar City (M Corp), Palghar - 401208",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Bhavesh Enterprises,"Sr. No. 225/11, Hissa No. 23, Gausiya Compound, Gate No. 1, Vill. Pimpri, Tal. & Dist. Thane",Maharashtra,E-waste recycler/dismantler,200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
BKE RECYCLING,"Adsul Mala, Shivram Nagar, Uruli Devachi, URULI DEVACHI, Pune - 412308",Maharashtra,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Bombay Metal Works,"Sr. 54, Hissa No. 4, Dahisar Road, Pimpri, Tal & Dist: Thane",Maharashtra,E-waste recycler/dismantler,1000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Bombay Recyclers Pvt. Ltd.,"Gala No. P-17-18, S. No. 121/2, Balaji Industrial Park, Behind Hindalco Co. MIDC Taloja, Panvel, Dist. Raigad",Maharashtra,E-waste recycler/dismantler,200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Bsqaure E-Waste Recyclers,"Gala No. 800, Survey No. 69/3, Siddhivinayak Market, Mohammadia Estate, Pimpri, Thane, Dist: Thane, Maharashtra",Maharashtra,E-waste recycler/dismantler,325,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
CBS EWaste Recycling Industries,"G.No. 18/63/2, At. Khanapur, Tal. Akole, Dist. Ahmednagar",Maharashtra,E-waste recycler/dismantler,2500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Chaudhary Metal,"80/2, Village -Waliwali Dahisar, Mori, Mumbra Panvel Road, Group Grampachayat, Dist. Thane - 400612",Maharashtra,E-waste recycler/dismantler,350,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Clean Tech,"B/8, Gala no: 3, Parasnath indl Estate, Anjurphata Road, vill: Val, Tal: Bhiwandi Dist: Thane",Maharashtra,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Connect Info Solutions India Private Limited,"c/o: A-one Logistics Shop No 4, Saibaba Apartment, Plot No 12, Sector 9, Near Corporation Bank, Khanda Colony, New Panvel - 410206",Maharashtra,E-waste recycler/dismantler,130,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
CPG Shell Mould & Casting,"Plot No.W-39, Additional MIDC, Satara",Maharashtra,E-waste recycler/dismantler,1000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E Clean E Green Recycling,"Umar Compound, Jabar Pada, Nalasopara, Vasai-Virar City (M Corp), Dist. Palghar 401208",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Earth Sense Recycle Pvt. Ltd.,"A7, Gala No.1,2 & 3, Ground Floor, Prerana Complex, Val Village, Dapoda Road, Anjurphatta, Bhiwandi, District-Thane",Maharashtra,E-waste recycler/dismantler,750,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco Layer E-Waste Recycling,"S. No. 11, H. No. 1/1, PT-8, S. K. Indl. Estate, Choudhary Compound, Vasai E, Palghar",Maharashtra,E-waste recycler/dismantler,110,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco Tantra LLP,"M-365, Raviwar Peth, Bohari Lane, Tal. & Dist. Pune",Maharashtra,E-waste recycler/dismantler,160,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco Tech Recycling,"C/6, (5), Sagar Industrial Estate, S. No. 46/4, Dhumal Nagar, Vasai (E), Tal: Vasai, Dist: Palghar",Maharashtra,E-waste recycler/dismantler,450,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Ecostar Recycling,"Survey No.94 Hissa No.12 Mahadev Industrial, Near Ladi Company, Mumbra, Dist:- Thane- 400612",Maharashtra,E-waste recycler/dismantler,275,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
EMS Scrapo,"S. No. 199, Hissa No. 3, Bharat Market, Khan Compound, Shil-Mahape Road, Shil, Tal. & Dist. Thane",Maharashtra,E-waste recycler/dismantler,90,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Envirocare Recycling Pvt. Ltd.,"Unit no: 8/ C-I Actual Industrial Complex, Uchat, Road, Village: Magathane, Tal: Wada Dist: Thane",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Environment Experts,"Gala No. 11, Lane, J. K. Compound, Opp. Roshan Comp. Kherani Road, Sakinaka, Mumbai",Maharashtra,E-waste recycler/dismantler,350,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Recon Recycling Pvt. Ltd.,"Gut No. 94, Chitegaon, Tal. Paithan, Dist. Aurangabad",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Refine Corporation,"Gut No. 24, Plot No. 2, Dargah Road, Additional Daultabad, Tal. & Dist. Aurangabad",Maharashtra,E-waste recycler/dismantler,260,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Waste Global,"Gate No. 2, Near Theur Phata, Lonikand, Pune Nagar Road, Tal. Haveli, Dist. Pune 412216",Maharashtra,E-waste recycler/dismantler,240,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Waste Mart,"Survey No.94, Gala No.6, Umar Compound, Jahar Pada, Nalasopara, Vasai-Virar City (M Corp), District - Palghar - 401208",Maharashtra,E-waste recycler/dismantler,500,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
